full_group_idd	mzmed	mzmin	mzmax	rtmin	rtmax	npeaks	all_sample_valid	mzmin_full	mzmax_full	rtmin_full	rtmax_full	isotopes	adduct	pcgroup	i
16	331.1656148426	331.1655834985	331.1656461867	148.4401085407	149.5871387608	2	1	331.05859375	331.2346801758	136.5981700078	160.5675074501	[59][M]+	[2M+H]+ 165.079	2	73889822.4604875
30	433.2410636656	433.2409107922	433.241216539	71.9070102664	72.4272843079	2	1	433.1127929688	433.2495727539	60.4329323509	83.7026251231	[101][M+1]+		1	5341133.56886967
30	134.1002594695	134.1000467427	134.1004721964	70.3253261708	70.8416103529	2	1	134.0601959229	134.1063995361	57.2095961865	82.3799901757	[7][M+2]+		1	7637410.2684865
30	154.0809644377	154.0809610276	154.0809678477	72.2234923551	73.062579148	2	1	154.0440368652	154.1308441162	60.4329323509	84.7020132623		[M+Na]+ 131.093	1	72236556.12401
30	432.2382562312	432.2382371751	432.2382752873	71.9070102664	72.4272843079	2	1	432.2088928223	432.2460021973	60.4329323509	83.7026251231	[101][M]+	[3M+K]+ 131.093	1	27520188.290379
30	133.0918000099	133.0916936951	133.0919063248	70.0089654149	70.5237848265	2	1	133.0320587158	133.1055755615	55.5861923375	81.7209168342	[7][M+1]+		1	128151429.826519
30	132.1022125871	132.1022085213	132.102216653	71.274525325	71.7933596286	2	1	132.1020812988	132.1023101807	59.1484160382	83.3700901508	[7][M]+	[M+H]+ 131.093	1	1533224284.67863
30	301.1416781145	301.1415261261	301.1418301029	71.9070102664	72.7449916104	2	1	301.0827026367	301.1437072754	61.3982449258	83.3700901508		[2M+K]+ 131.093	1	11817674.0904243
80	205.0975069793	205.0974897282	205.0975242305	261.5115427933	263.1155553343	2	1	205.0974121094	205.1048583984	249.1892201886	274.2800307078	[19][M]+	[M+H]+ 204.09	6	480164654.639286
80	206.1005967589	206.1005770968	206.100616421	261.5115427933	263.1155553343	2	1	205.9876098633	206.1083068848	248.8365272252	274.2800307078	[19][M+1]+		6	57376958.1651147
80	249.0607782761	249.0607642979	249.0607922543	262.1553793759	263.7589336111	2	1	248.9657440186	249.1075439453	249.5435599366	275.3594879402	[28][M]+	[M+2Na-H]+ 204.09	6	8584233.0907919
80	250.0666452196	250.066515137	250.0667753022	262.1553793759	264.0823713958	2	1	249.9778594971	250.12940979	249.5435599366	275.7190303585	[28][M+1]+		6	1003355.17293125
80	431.1737204897	431.1736751275	431.1737658519	261.1898835131	262.7942438981	2	1	431.1669921875	431.2507324219	248.4835658311	273.9191235592	[99][M]+	[2M+Na]+ 204.09	6	10803617.2934924
80	432.1770498973	432.1769669564	432.1771328383	261.5115427933	262.7942438981	2	1	432.171875	432.255279541	249.1892201886	273.1995757297	[99][M+1]+		6	2498653.62604771
80	188.0709741865	188.0709723971	188.0709759758	261.5115427933	263.1155553343	2	1	188.0709075928	188.164855957	248.8365272252	274.2800307078	[18][M]+	[M+H-NH3]+ 204.09	6	615589310.146572
80	189.0742070481	189.0742009033	189.0742131928	261.5115427933	263.1155553343	2	1	189.0740509033	189.1097106934	248.8365272252	274.2800307078	[18][M+1]+		6	74336489.0783549
80	651.2244887311	651.2244011755	651.2245762867	261.5115427933	263.1155553343	2	1	651.223449707	651.3123168945	249.5435599366	275.3594879402	[212][M]+	[3M+K]+ 204.09	6	1426865.92907245
80	228.0893185059	228.0892304688	228.089406543	261.5115427933	263.1155553343	2	1	228.0825042725	228.2326965332	249.1892201886	274.2800307078	[22][M+1]+		6	13130328.0478689
