peakID	mzmed	mzmin	mzmax	rtmin	rtmax	npeaks	all_sample_valid	mzmin_full	mzmax_full	rtmin_full	rtmax_full	isotopes	adduct	pcgroup	medianPurity	i
811	278.9989491946	278.9866782923	279.0055959947	1650.7565328097	1651.7219471821	4	1	278.9552001953	279.0065917969	1637.9745042757	1665.8317582562	[99][M+4]+		9	0.3178383984	14568186.5428879
368	203.1069550306	203.1063310824	203.1071348518	905.3271003845	962.8887476588	4	1	202.9696502686	203.1072387695	892.6345867079	918.2009503003			696	0.314261568	15878694.6115154
148	153.0075205591	153.0075205591	153.0075205591	1734.9654134723	1734.9654134723	1	0	153.0072021484	153.0076293945	1719.5698901144	1754.7225982481			570	0.314126302	9869400.85021754
357	200.9743050089	200.9739832422	200.9746267756	889.518001311	889.7957725801	2	1	200.9468536377	201.0269317627	876.9311357413	902.7534231746			21	0.3113216103	752450.870091863
410	214.6459888176	214.6456191498	214.6463584854	218.1444825379	218.937597355	2	1	214.6345214844	214.6475982666	204.571838161	231.5390800858			1092	0.3099343405	299000.586347496
42	118.9484055776	118.9483616728	118.9484557594	1621.7036099143	1622.7142806193	4	1	118.9481811523	118.9484710693	1607.6276047166	1636.8480738152			305	0.3062836508	509570.831239617
341	197.9581826035	197.9577574618	197.9586077452	1652.0468401394	1652.370318911	2	0	197.9500732422	198.0281982422	1638.4310042301	1668.7951262696			442	0.3054530165	1997361.5347398
561	245.2669992593	245.2669269731	245.2670324745	1150.0759796977	1153.0597572596	4	1	245.2666015625	245.2672119141	1135.099465652	1175.7266082214	[68][M+1]+		747	0.3019720946	2872978.55732525
27	114.0379418723	114.0378418989	114.0380418457	81.3926524733	82.2963701065	2	1	113.9536895752	114.0381393433	69.691730483	93.5195111384	[3][M+1]+		22	0.2951239539	1004791.28278857
245	175.1689635915	175.1687232257	175.1691809222	774.1315672969	834.4776908594	4	1	175.15184021	175.1697235107	760.2594116746	786.26098599			152	0.2934600951	637044.506303299
270	180.9982900721	180.9834263444	181.0113077147	1651.2612556652	1652.3746992313	4	1	180.9784545898	181.0385437012	1638.5725114984	1669.7302337098	[33][M]+	[M+H-C3H2O3]+ 265.998	9	0.289959026	117382075.256582
684	263.1174764702	263.1117215699	263.1232228795	910.5238522334	962.8887476588	4	1	263.1042785645	263.1258239746	898.0132081284	923.0624312078			696	0.2896587617	9327494.21425129
563	246.1423636977	246.0289982644	246.1670227894	42.0817881107	85.9565897435	6	1	245.9571685791	246.1342468262	27.5665727826	53.6420803021		[M+H+HCOOH]+ 199.134	10	0.2880864847	23349090.6070867
458	226.1414787554	226.1413388492	226.1416527047	586.577548015	588.682805068	4	1	226.0981903076	226.1417236328	570.4626974017	600.8862972068			209	0.2880484369	1980454.75006892
215	168.0260667647	168.0258501291	168.0262834003	1653.6880222006	1654.3198697085	2	0	167.9963989258	168.026550293	1640.1853054015	1674.3420454519	[27][M+1]+		440	0.2879296371	1483098.66035487
696	264.2293106864	264.2278963823	264.253662476	1192.0172225211	1261.7266844548	3	0	264.10546875	264.2407531738	1172.5094249521	1209.6584917687			1483	0.2815436342	618396.915473762
200	164.9905506095	164.9686501839	165.0549273012	41.3460401498	68.9357304305	5	1	164.9206390381	165.0112609863	26.9418757	55.7320708015			374	0.278569515	8217419.35528069
547	244.0242021496	244.0240049781	244.024399321	152.9774779512	153.7951107052	2	1	243.9961395264	244.0263824463	140.1732016272	166.8096527928			125	0.2779251401	258723.974663797
207	166.1628621142	166.1628552401	166.1628689884	861.9622424882	862.1731158102	2	1	166.156463623	166.1674346924	850.1624560497	891.1960270536			712	0.2774537146	1536938.77647275
326	194.1565025553	194.1530542765	194.158873544	1000.5670320965	1036.0345611428	4	1	194.1514892578	194.1627655029	987.8593672141	1011.4845728356			246	0.2715270186	802225.245364383
596	250.9492747093	250.9491869306	250.9493708184	1621.3975375712	1621.7036099143	4	1	250.9487762451	250.9496154785	1605.0585669017	1637.335098289			1713	0.2710778719	1818964.69657622
867	286.2785648115	286.2708215119	286.2806591902	1292.1745769522	1297.2650394813	4	1	286.2455749512	286.3107299805	1255.5935691502	1309.3906931768			892	0.2703358322	3513090.72711041
111	142.9383653942	142.9383537863	142.9383770022	890.8616986271	891.1196600575	2	1	142.9379577637	142.9388122559	877.5136082027	904.844408384		[M+Na]+ 119.954	21	0.2700250849	1190571.62175811
992	300.0205099165	300.0160075339	300.0205683443	41.6609492221	51.370395438	4	1	299.9554138184	300.061340332	28.9840099	54.4350219289		[M+H]+ 299.014	495	0.2639805235	10056611.0317912
355	201.0725253008	200.9322480638	201.0754193187	42.610492371	46.3983251808	3	1	200.8593597412	200.947265625	25.238491371	53.8038142638	[45][M+1]+		376	0.261634058	6668598.04237587
426	218.2115185335	218.210431945	218.2117681972	809.1233015375	863.1856116722	6	1	218.1750335693	218.2118835449	795.2146021821	822.670249064			196	0.2599646948	2973557.40243019
22	110.0346989393	110.0344591381	110.071485855	45.9602585936	125.9819660031	6	1	110.0236434937	110.0350799561	69.691730483	90.4098487057			22	0.2565404303	172594.992019395
163	156.9790715085	156.9790277982	156.9791930879	1647.9792761823	1648.8194166005	4	1	156.9784088135	157.0120697021	1634.3484853094	1666.7516199418			439	0.2535037198	3939651.81072911
354	201.0267438803	200.9468708984	201.0268218234	1733.8952806445	1736.3681201283	4	1	200.9386291504	200.947265625	1717.4203545923	1752.0392408417	[44][M+1]+		573	0.2529218125	3908980.74302483
616	253.2527363475	253.2526688088	253.2527647553	1188.7821615116	1189.5678940809	4	1	253.2523956299	253.2530059814	1176.0777569786	1201.3478807019		[M+H-HCOOH]+ 298.251	180	0.2517773869	1575443.70411211
69	127.0773205526	127.0755398692	127.0791012361	62.3667335657	62.8609316048	2	1	127.0322341919	127.0870666504	50.5403867543	74.1298894499			534	0.2505549455	6693820.15422012
4	102.0159345423	102.0086805247	102.0248581894	47.750632619	50.0892883734	4	1	101.8581161499	102.0371398926	34.5873584533	61.0751093243			498	0.245713007	1097568.82949649
157	155.1544909198	155.1544870448	155.1544947949	457.9830339721	458.7381699982	2	1	155.1543731689	155.154586792	441.5615902261	478.2784013406			988	0.2448745953	3138173.19965489
795	276.9631135956	276.9611653434	276.9668683269	1653.0305587377	1654.0817274525	4	1	276.9542541504	277.0083007813	1640.527289203	1675.2716486021	[99][M+2]+		9	0.2431403391	9141393.71999716
405	214.0081042163	214.0080912863	214.008172702	1650.396931759	1651.0765680635	4	1	214.0076293945	214.0083770752	1637.5941822972	1667.4322745812	[53][M+1]+		9	0.2412127579	3139391.61802622
79	131.0697793851	131.0697793851	131.0697793851	261.5115427933	261.5115427933	1	0	131.0684509277	131.1069946289	248.8365272252	273.9191235592	[10][M+1]+		6	0.2409501252	2307224.35650753
803	277.9984800678	277.9984373756	277.99852276	1650.7534147099	1651.0650800102	2	0	277.9494018555	278.0106506348	1638.7868457791	1667.0924843033	[99][M+3]+		451	0.2395174799	698006.252478569
108	142.1593607474	142.1593354416	142.1593850873	1074.7837385029	1080.2268992198	4	1	142.1591339111	142.1594543457	1061.4659531164	1089.590972071			1661	0.2386523381	565687.317875189
804	278.0091266529	278.0091266529	278.0091266529	1735.6453421094	1735.6453421094	1	0	277.9497070313	278.0102539063	1720.9733373661	1752.5241382481	[101][M+1]+		575	0.2360277387	981162.099235077
409	214.2532205723	214.2531165988	214.2532505764	1173.266623961	1174.5949625902	4	1	214.252822876	214.2533569336	1160.0402991148	1187.1424628078			1157	0.2341503186	2221967.94465201
64	125.0140216249	124.9231023869	125.0236185537	39.1414893877	45.8338657891	4	1	124.8918380737	124.9392471313	26.1227611	50.5403867543			3	0.2276921702	958835.495804544
282	182.9540460926	182.8898891893	183.0159790085	39.6643021845	45.4993553368	4	1	182.8884887695	182.939956665	26.7704188508	51.0529343469		[3M+H+Na]2+ 113.965 [M+Na+HCOOH]+ 113.965	3	0.2250576174	3210404.27217518
90	134.1002594695	134.1000467427	134.1004721964	70.3253261708	70.8416103529	2	1	134.0601959229	134.1063995361	57.2095961865	82.3799901757	[14][M+2]+		1	0.2217759034	7637410.2684865
614	253.1530136364	253.1408906496	253.1651366231	1140.2730942161	1142.252367792	2	0	252.9971313477	253.14402771	1124.5395032055	1154.3282034318			824	0.2176018158	5726508.4034445
162	156.1748514088	156.1748363063	156.1748665114	1136.8967233087	1137.4554854971	2	0	156.1745758057	156.1750030518	1122.8855023697	1151.1438156259			823	0.2170646922	600516.078581683
297	186.0342307515	186.0338639377	186.0345975653	114.1488757623	115.4362609859	2	1	185.9749450684	186.0437316895	101.9972071153	126.5404235366			928	0.2142945412	368615.03845261
143	152.0166506914	152.0166506914	152.0166506914	1296.2233184593	1296.2233184593	1	0	152.016494751	152.0167388916	1281.062850579	1310.7415466222			68	0.2141859675	2662470.6689498
870	286.2759013435	286.2759013435	286.2759013435	1195.8451589188	1195.8451589188	1	0	286.274017334	286.3108825684	1183.6325940465	1208.2827530909			1496	0.2129553679	943979.927857628
332	196.0540117359	196.0188287251	196.0868055599	42.8033503461	54.1521918904	4	1	195.9591522217	196.1006622314	30.6677974508	55.261908007		[M+H]+ 195.046 [M+2H-CO]2+ 418.088	496	0.2112873217	6507125.48795404
527	240.093139798	240.032155315	240.0936034466	49.2895282941	88.309012802	3	1	239.9809265137	240.0874633789	35.259747171	66.744309128			763	0.2096584961	14862328.9141529
337	197.0233945582	197.0176906927	197.0253994756	1641.5154405059	1642.0531592565	4	1	196.9520874023	197.0276184082	1627.5708360419	1654.3448044812		[M+Na]+ 174.037	47	0.2082390488	5811785.30817053
440	221.642605812	221.6425899589	221.6426216651	339.8872831056	340.1820302984	2	1	221.6423339844	221.6430358887	325.8238335365	354.3993935838			176	0.2077081828	315253.788218094
275	182.0165589441	182.0154700623	182.0176478259	1651.0858753161	1651.5906054748	2	1	181.9817962646	182.0419464111	1638.3444066415	1668.7100204253	[33][M+1]+		9	0.2025768632	4925234.45406657
219	168.9491167108	168.9473667673	168.9515892935	1628.7500103475	1629.0899488446	4	1	168.9458007813	169.0497436523	1614.3423737062	1642.7067184538		[3M+3Na-H]2+ 89.9868 [M+Na]+ 145.961	1287	0.2020530156	1476030.98935818
695	264.1925655569	264.1919852617	264.1931458521	1026.9373065829	1030.2203277386	2	0	264.1115112305	264.2329406738	1015.4131096817	1039.2692255747			777	0.2017656956	342960.848790966
290	184.1740106718	184.1740106718	184.1740106718	1023.5997368565	1023.5997368565	1	0	184.1698150635	184.1783752441	1009.5097790257	1038.4831968445		[M+H]+ 183.169 [M+H-C3H2O3]+ 269.173	53	0.1990425984	739653.711534086
802	278.0055088438	277.9899987544	278.0169976219	46.0801543245	53.8038142638	4	1	277.9055480957	278.0372924805	32.2145131	61.2439068218			421	0.1978080618	1982175.81523312
560	245.1957712615	245.1957712615	245.1957712615	823.332970436	823.332970436	1	0	245.1748199463	245.2225799561	807.6720678848	836.7769919553			73	0.1976375418	743477.106501243
39	117.998623589	117.9983613027	117.9988858752	944.082088858	944.7501779949	2	1	117.9892730713	118.0499954224	931.7245079811	957.238877595			20	0.1972208058	367088.757832796
468	228.268821622	228.268817278	228.2688259659	1122.5281271378	1124.1929260049	2	0	228.2682647705	228.2690124512	1109.0019721604	1136.8967233087			86	0.1961856575	1186163.43407093
500	233.9679095094	233.9678999524	233.9679190664	1653.6690390445	1654.3448044812	2	0	233.9674530029	233.9682769775	1641.7246406412	1673.231129434	[64][M+1]+		445	0.1922220233	1301970.62264715
