peakID	mz	intensity	isotopes	adduct	groupid	bestAdductScore	clustn	medianPurity	intp	addp	clustnp	pp	intensityw	adductw	clustnw	purityw	totalS	excluded	excludedFinal
54	157.079383643	17838052.725223001			42	8.0	1.0	0.0	1.155806631832285	30.0	0.0	0.0	0.34674198954968549	9.0	0.0	0.0	9.3467419895496846	1	1
601	359.22823406570001	17364907.442228101			432	8.0	1.0	0.0	1.1249447546042608	30.0	0.0	0.0	0.33748342638127821	9.0	0.0	0.0	9.3374834263812776	1	1
492	331.19480874189998	17335679.010072902			358	8.0	1.0	0.0	1.1230382698158432	30.0	0.0	0.0	0.33691148094475293	9.0	0.0	0.0	9.3369114809447531	1	1
418	311.12371438920002	17281036.022708699			298	8.0	1.0	0.0	1.1194740682312216	30.0	0.0	0.0	0.33584222046936646	9.0	0.0	0.0	9.3358422204693667	1	1
722	388.18634497059998	17270230.8197296			516	8.0	1.0	0.0	1.1187692765747266	30.0	0.0	0.0	0.33563078297241794	9.0	0.0	0.0	9.3356307829724177	1	1
356	298.0975460935	16920127.371475302			250	8.0	1.0	0.0	1.0959330568649159	30.0	0.0	0.0	0.32877991705947479	9.0	0.0	0.0	9.3287799170594745	1	1
30	130.06590295379999	16576588.4619922			25	8.0	1.0	0.0	1.0735250227397379	30.0	0.0	0.0	0.32205750682192136	9.0	0.0	0.0	9.3220575068219205	1	1
126	197.10473613209999	16306104.944530001			91	8.0	1.0	0.0	1.0558821772794935	30.0	0.0	0.0	0.31676465318384806	9.0	0.0	0.0	9.3167646531838475	1	1
313	286.1076982431	15967758.5529004			222	8.0	1.0	0.0	1.0338128358439787	30.0	0.0	0.0	0.31014385075319356	9.0	0.0	0.0	9.3101438507531942	1	1
703	384.21204918299998	15358563.1674437			501	8.0	1.0	0.0	0.99407680999830572	30.0	0.0	0.0	0.29822304299949171	9.0	0.0	0.0	9.2982230429994921	1	1
393	305.05634457920002	15111830.2101558			280	8.0	1.0	0.0	0.97798314382514306	30.0	0.0	0.0	0.29339494314754289	9.0	0.0	0.0	9.2933949431475433	1	1
20	122.0714231117	14978599.7970831			17	8.0	1.0	0.0	0.96929291526519146	30.0	0.0	0.0	0.2907878745795574	9.0	0.0	0.0	9.2907878745795571	1	1
643	369.23918402089998	14903516.5650972			454	8.0	1.0	0.0	0.96439545655490966	30.0	0.0	0.0	0.28931863696647286	9.0	0.0	0.0	9.2893186369664722	1	1
466	323.11932140279998	14655086.9319221			335	8.0	1.0	0.0	0.94819112119659732	30.0	0.0	0.0	0.28445733635897918	9.0	0.0	0.0	9.2844573363589795	1	1
498	332.21842423999999	14579874.283973699			362	8.0	1.0	0.0	0.9432852210631637	30.0	0.0	0.0	0.28298556631894911	9.0	0.0	0.0	9.2829855663189491	1	1
200	245.18620651680001	14578278.217402499			140	8.0	1.0	0.0	0.94318111432821672	30.0	0.0	0.0	0.282954334298465	9.0	0.0	0.0	9.2829543342984646	1	1
119	192.05183812089999	14290523.8146486			86	8.0	1.0	0.0	0.92441173974330726	30.0	0.0	0.0	0.27732352192299214	9.0	0.0	0.0	9.2773235219229928	1	1
332	289.15286754509998	14114609.175819499			235	8.0	1.0	0.0	0.91293734449669028	30.0	0.0	0.0	0.27388120334900706	9.0	0.0	0.0	9.2738812033490063	1	1
380	302.207790026	14105525.6345149			268	8.0	1.0	0.0	0.91234485177486957	30.0	0.0	0.0	0.27370345553246084	9.0	0.0	0.0	9.2737034555324609	1	1
136	202.1658721549	13395821.395837			97	8.0	1.0	0.0	0.86605292861831584	30.0	0.0	0.0	0.25981587858549476	9.0	0.0	0.0	9.2598158785854956	1	1
1093	482.21709843370002	13286777.973293301			786	8.0	1.0	0.0	0.85894034641572947	30.0	0.0	0.0	0.25768210392471885	9.0	0.0	0.0	9.2576821039247186	1	1
279	274.16087725070003	13061594.0848845			195	8.0	1.0	0.0	0.84425226271802856	30.0	0.0	0.0	0.25327567881540858	9.0	0.0	0.0	9.2532756788154078	1	1
95	181.1225619706	13005950.783199901			72	8.0	1.0	0.0	0.84062281356811386	30.0	0.0	0.0	0.25218684407043412	9.0	0.0	0.0	9.2521868440704349	1	1
275	273.11885626629999	12629530.274579201			194	8.0	1.0	0.0	0.81607000930125251	30.0	0.0	0.0	0.24482100279037575	9.0	0.0	0.0	9.2448210027903759	1	1
